Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:48:39:43.245,61,0.0000000000,0.0000000000,0.0000000000,0.4479776323,0.0308839306,0.3731974065,0.2883718312,0.0000000000,0.0000000000,0.5470589399,0.0000000000,0.0300186817,0.4438262284,0.2898692787,0.0743901283,0.0673732013,0.0000000000,0.0374779329,0.0324778073,0.1745725423,0.1010796428,0.0072166608,0.0000000000,0.0645973161,0.0000000000,0.0000000000,0.0023644120,0.1394627392,0.1420192271,0.2384400815,0.2108369172,0.1023517847,0.0915487409,0.1117242426,0.0550835431,0.0137266740,0.0165359490,0.1103153080,0.1127530262,0.0315102078,0.0295857303,0.0338973664,0.0393046178,0.0980615020,0.0000000000,0.0000000000,0.0404614434,0.0584380403,0.0581790209,0.1142084152,0.1355196387,0.0019560661,0.0000000000,0.0000000000,0.0000000000,-0.3341495395,-0.0138650453,0.0045475224,-0.2736285329,-0.0139964009,0.0037824307
16:48:39:45.244,61,0.0000000000,0.0000000000,0.0000000000,0.4426564872,0.0290108193,0.3746418655,0.2875764072,0.0000000000,0.0000000000,0.5420092940,0.0000000000,0.0281846393,0.4460847080,0.2885258794,0.0750869662,0.0667894036,0.0000000000,0.0377360508,0.0326999798,0.1748225242,0.1003946811,0.0051302896,0.0000000000,0.0645054355,0.0007190858,0.0000000000,0.0000000000,0.1404148936,0.1434896588,0.2377707958,0.2112869173,0.1031588390,0.0919128880,0.1122321784,0.0553217307,0.0137407603,0.0165003892,0.1104265600,0.1128907949,0.0317500308,0.0299328621,0.0342666432,0.0398867056,0.0984939411,0.0000000000,0.0000000000,0.0400855616,0.0588265844,0.0592485294,0.1146377325,0.1364421695,0.0020920325,0.0000000000,0.0000000000,0.0000000000,-0.3310686350,-0.0130040860,0.0042272410,-0.2703812420,-0.0131356111,0.0035086940
16:48:39:47.244,61,0.0000000000,0.0000000000,0.0000000000,0.4450105429,0.0198649224,0.3706683218,0.2834238410,0.0000000000,0.0000000000,0.5443579555,0.0000000000,0.0192075856,0.4372296929,0.2838850915,0.0756003633,0.0665078163,0.0000000000,0.0380738974,0.0329439119,0.1750982106,0.0999065489,0.0040984326,0.0000000000,0.0643906295,0.0021148706,0.0000000000,0.0000000000,0.1410951614,0.1442715228,0.2372814417,0.2116006315,0.1036766395,0.0922269300,0.1126846522,0.0556968227,0.0138090039,0.0165426936,0.1106434911,0.1131335646,0.0320676975,0.0303330664,0.0344417393,0.0401492789,0.0988933444,0.0000000000,0.0000000000,0.0398353338,0.0592001192,0.0599803962,0.1149915904,0.1370368153,0.0016923296,0.0000000000,0.0000000000,0.0000000000,-0.3325172365,-0.0088665802,0.0028943268,-0.2718310356,-0.0089981174,0.0024160165
16:48:39:49.244,61,0.0000000000,0.0000000000,0.0000000000,0.4472377598,0.0198911503,0.3676903248,0.2903799117,0.0000000000,0.0000000000,0.5464558005,0.0000000000,0.0192332678,0.4264523387,0.2918639481,0.0761456043,0.0663868785,0.0000000000,0.0395440422,0.0335123390,0.1756861508,0.0998807997,0.0031062330,0.0000000000,0.0644844845,0.0030705417,0.0000000000,0.0000000000,0.1406287551,0.1426711679,0.2372662276,0.2122182250,0.1037112921,0.0927767605,0.1123898476,0.0558737777,0.0137787443,0.0164699517,0.1115231887,0.1143125594,0.0321902446,0.0305219982,0.0283946097,0.0332199857,0.1013590693,0.0000000000,0.0000000000,0.0396476500,0.0593228415,0.0602696501,0.1149821505,0.1370200515,0.0015419847,0.0000000000,0.0000000000,0.0000000000,-0.3337986171,-0.0088823717,0.0029102392,-0.2731914520,-0.0090134256,0.0024319366
16:48:39:51.243,61,0.0000000000,0.0000000000,0.0000000000,0.4532694221,0.0005581631,0.3593340814,0.2872983813,0.0000000000,0.0000000000,0.5518782735,0.0000000000,0.0002661042,0.4067386389,0.2907822430,0.0761695504,0.0664385781,0.0000000000,0.0399203040,0.0337079875,0.1759797633,0.0996699408,0.0023766975,0.0000000000,0.0648496225,0.0035912180,0.0000000000,0.0000000000,0.1402995884,0.1418864578,0.2364245355,0.2121322304,0.1033157259,0.0927593932,0.1120591462,0.0559862368,0.0137505000,0.0163970944,0.1116568148,0.1145727113,0.0323017649,0.0306767710,0.0256715789,0.0296939053,0.1020980179,0.0000000000,0.0000000000,0.0394104980,0.0593780801,0.0603068024,0.1149700955,0.1368571818,0.0011573897,0.0000000000,0.0000000000,0.0000000000,-0.3371232152,-0.0001230355,0.0000406969,-0.2768865526,-0.0002531882,0.0000692121
16:48:39:53.243,61,0.0000000000,0.0003947849,0.0000000000,0.4572335482,0.0000000000,0.3550888598,0.2863664925,0.0000000000,0.0005883719,0.5558383465,0.0000000000,0.0000000000,0.4000428319,0.2900886834,0.0761268586,0.0663347989,0.0000000000,0.0401703902,0.0339372456,0.1759919822,0.0993655473,0.0016856689,0.0000000000,0.0646803826,0.0037542125,0.0000000000,0.0000000000,0.1399159282,0.1412063241,0.2349839956,0.2118411213,0.1028788835,0.0929405391,0.1116315126,0.0559670888,0.0137232151,0.0163262952,0.1115773171,0.1145519912,0.0323194191,0.0307417847,0.0228260495,0.0264093298,0.1028260589,0.0000000000,0.0000000000,0.0391909033,0.0593294762,0.0602663420,0.1147986352,0.1365310699,0.0010533275,0.0000000000,0.0000000000,0.0000000000,-0.3395423293,0.0003811785,-0.0001269536,-0.2793080807,0.0002508830,-0.0000691661
16:48:39:55.243,61,0.0000000000,0.0015957272,0.0000000000,0.4610499740,0.0000000000,0.3530346155,0.2777338922,0.0000000000,0.0017664819,0.5596122742,0.0000000000,0.0000000000,0.3970799148,0.2794799805,0.0760846883,0.0660664812,0.0000000000,0.0403918177,0.0341727287,0.1759728640,0.0991074890,0.0008793278,0.0000000000,0.0643554479,0.0041868691,0.0000000000,0.0000000000,0.1391561925,0.1405457854,0.2341910899,0.2117910981,0.1024133936,0.0931647643,0.1112217680,0.0558987446,0.0136549016,0.0162202306,0.1114744395,0.1144657284,0.0322872996,0.0307876300,0.0216037463,0.0250561032,0.1033252552,0.0000000000,0.0000000000,0.0389068089,0.0593322217,0.0604040511,0.1147475541,0.1364402473,0.0008670568,0.0000000000,0.0000000000,0.0000000000,-0.3418475389,0.0011453565,-0.0003839560,-0.2816392779,0.0010147545,-0.0002820315
16:48:39:57.243,61,0.0000000000,0.0044731880,0.0000000000,0.4581237733,0.0000000000,0.3497019410,0.2700378597,0.0000000000,0.0045889108,0.5568686128,0.0000000000,0.0000000000,0.3951350451,0.2707990408,0.0755990669,0.0657542720,0.0000000000,0.0403264575,0.0342580155,0.1756568551,0.0990457088,0.0004193457,0.0000000000,0.0643390492,0.0045791054,0.0000000000,0.0000000000,0.1385051310,0.1396005601,0.2297682762,0.2103690207,0.1006439999,0.0930713341,0.1108647734,0.0556853041,0.0135977687,0.0161287338,0.1110350490,0.1140500605,0.0322150290,0.0307697225,0.0214588139,0.0248872507,0.1035866737,0.0000000000,0.0000000000,0.0386940464,0.0591998808,0.0603429340,0.1147084385,0.1363588721,0.0008799465,0.0000000000,0.0000000000,0.0000000000,-0.3401702940,0.0029736008,-0.0009921375,-0.2798508108,0.0028431225,-0.0007853073
16:48:40:01.242,61,0.0000000000,0.0004746005,0.0000000000,0.4397715628,0.0000000000,0.3480393589,0.2697178721,0.0000000000,0.0006685779,0.5394068956,0.0000000000,0.0000000000,0.3952220678,0.2697991133,0.0748322308,0.0649361685,0.0000000000,0.0403056741,0.0344749317,0.1749060303,0.0992155969,0.0000000000,0.0009429911,0.0630694181,0.0050888052,0.0000000000,0.0000000000,0.1346446127,0.1358577162,0.2271445543,0.2097493410,0.0989611372,0.0929956138,0.1100364998,0.0552124977,0.0134799313,0.0159252621,0.1101017147,0.1131856591,0.0320158936,0.0307066366,0.0204770863,0.0239381958,0.1051756963,0.0000000000,0.0000000000,0.0383273438,0.0588998273,0.0603596084,0.1145844162,0.1361689866,0.0007273767,0.0000000000,0.0000000000,0.0000000000,-0.3295048773,0.0004316316,-0.0001396650,-0.2686411142,0.0003007025,-0.0000798129
16:48:40:03.242,61,0.0000000000,0.0000000000,0.0000000000,0.4259896874,0.0045450814,0.3485401273,0.2701907754,0.0000000000,0.0000000000,0.5264058113,0.0000000000,0.0041767973,0.3985454440,0.2701104283,0.0742758289,0.0635791868,0.0000000000,0.0401814915,0.0345222354,0.1739198416,0.0993746147,0.0000000000,0.0021428070,0.0535982698,0.0051829405,0.0000000000,0.0000000000,0.1320792586,0.1342417896,0.2261973023,0.2094338387,0.0981829539,0.0931203961,0.1095177680,0.0547282808,0.0134032024,0.0157950819,0.1094818488,0.1125339121,0.0318082161,0.0305837784,0.0206385534,0.0247651655,0.1058690697,0.0000000000,0.0000000000,0.0381248444,0.0586466379,0.0604034513,0.1144849062,0.1361172497,0.0005930344,0.0000000000,0.0000000000,0.0000000000,-0.3215624690,-0.0019209335,0.0006071104,-0.2602218091,-0.0020522596,0.0005280366
16:48:40:05.241,61,0.0000000000,0.0000000000,0.0000000000,0.4260658026,0.0050010649,0.3488188982,0.2704911232,0.0000000000,0.0000000000,0.5264139771,0.0000000000,0.0046245847,0.3997628391,0.2703334093,0.0737444684,0.0628416166,0.0000000000,0.0398882888,0.0344509520,0.1731873453,0.0994514376,0.0000000000,0.0030428197,0.0490599014,0.0047687083,0.0000000000,0.0000000000,0.1310468614,0.1335225552,0.2246914804,0.2088977396,0.0975299999,0.0932452306,0.1092723310,0.0543266982,0.0133729279,0.0157261286,0.1083021834,0.1110940129,0.0316283964,0.0304832961,0.0207764227,0.0251265690,0.1061798707,0.0000000000,0.0000000000,0.0379825085,0.0582996458,0.0603214204,0.1140979752,0.1356633306,0.0006955247,0.0000000000,0.0000000000,0.0000000000,-0.3215673566,-0.0021268770,0.0006722088,-0.2602681518,-0.0022581792,0.0005811201
16:48:40:07.241,61,0.0000000000,0.0000000000,0.0000000000,0.4350996614,0.0050682737,0.3489134908,0.2704077363,0.0000000000,0.0000000000,0.5350262523,0.0000000000,0.0046901545,0.4007006288,0.2702166438,0.0731263310,0.0621749051,0.0000000000,0.0395874158,0.0343964361,0.1726848483,0.0996491313,0.0000000000,0.0039145774,0.0473082922,0.0047870362,0.0000000000,0.0000000000,0.1301765591,0.1328759342,0.2236581892,0.2084182948,0.0968051627,0.0930711702,0.1092151031,0.0539744236,0.0133232595,0.0156353116,0.1075017899,0.1102393940,0.0314858928,0.0304105803,0.0205253903,0.0249868631,0.1065380797,0.0000000000,0.0000000000,0.0378470607,0.0580847003,0.0603393279,0.1140109897,0.1356185079,0.0007989487,0.0000000000,0.0000000000,0.0000000000,-0.3268282712,-0.0021608497,0.0006937219,-0.2657865882,-0.0022919297,0.0006020184
16:48:40:09.241,61,0.0000000000,0.0000000000,0.0000000000,0.4397878945,0.0076082847,0.3491034508,0.2700942159,0.0000000000,0.0000000000,0.5394395590,0.0000000000,0.0071826270,0.4029988348,0.2698882222,0.0726982504,0.0616418906,0.0000000000,0.0393332765,0.0343872011,0.1722744554,0.0995742828,0.0000000000,0.0046494389,0.0461403280,0.0044170632,0.0000000000,0.0000000000,0.1297001839,0.1325838566,0.2224583626,0.2079254389,0.0963810459,0.0930265710,0.1091078892,0.0536222830,0.0132665737,0.0155369230,0.1067216545,0.1094651967,0.0313101374,0.0303018615,0.0200829376,0.0245936010,0.1068085879,0.0000000000,0.0000000000,0.0376996957,0.0576984696,0.0601549968,0.1137106046,0.1353335828,0.0006661857,0.0000000000,0.0000000000,0.0000000000,-0.3295231760,-0.0033122203,0.0010718113,-0.2686496377,-0.0034432490,0.0009139442
16:48:40:11.241,61,0.0000000000,0.0000000000,0.0000000000,0.4425207078,0.0026419172,0.3488464057,0.2641730905,0.0000000000,0.0000000000,0.5419234037,0.0000000000,0.0023091505,0.4037021399,0.2640530765,0.0721505508,0.0612945706,0.0000000000,0.0390984118,0.0343764275,0.1719082445,0.0995210707,0.0000000000,0.0051923003,0.0455398485,0.0039111520,0.0000000000,0.0000000000,0.1293307841,0.1321901828,0.2208829969,0.2067661136,0.0958375335,0.0930193439,0.1088850349,0.0532105230,0.0132223219,0.0154523058,0.1060179174,0.1087670252,0.0311356671,0.0301687662,0.0198652502,0.0243943855,0.1069024429,0.0000000000,0.0000000000,0.0375539735,0.0573405735,0.0599182285,0.1134679615,0.1350507885,0.0008063727,0.0000000000,0.0000000000,0.0000000000,-0.3310420215,-0.0010654040,0.0003462870,-0.2703203559,-0.0011961932,0.0003194317
