Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
16:55:51:38.453,61,0.1824302822,0.3821008503,0.0000000000,0.0026093929,0.0000000000,0.0275318380,0.0000000000,0.1832505763,0.3812505901,0.1122109368,0.0000000000,0.0000000000,0.0275320355,0.0000000000,0.0452808663,0.0137481652,0.0000000000,0.0318495780,0.0348019488,0.1397427022,0.1246432662,0.0000000000,0.0674430504,0.0000000000,0.0000000000,0.2405340821,0.1875824779,0.0391710997,0.0475318134,0.1623829454,0.1769076437,0.0632248521,0.0578263588,0.1090316772,0.1256947219,0.0366924182,0.0353450365,0.0681057349,0.0696267784,0.0428936519,0.0474909395,0.0000000000,0.0000000000,0.1789262444,0.1223044470,0.1211026385,0.0622546002,0.0163499061,0.0191127881,0.0539278388,0.0559524819,0.0000641109,0.0000000000,0.0000000000,0.0000000000,-0.0666924417,0.2334212810,-0.0158433933,-0.0015507631,0.2334124148,-0.0003686872
16:55:51:40.453,61,0.1838173866,0.3844291568,0.0000000000,0.0025653611,0.0000000000,0.0270223711,0.0000000000,0.1846435666,0.3835744262,0.1122048497,0.0000000000,0.0000000000,0.0270224549,0.0000000000,0.0450981781,0.0137248151,0.0000000000,0.0314335860,0.0344078764,0.1397513151,0.1250243038,0.0000000000,0.0670225769,0.0000000000,0.0000000000,0.2412618697,0.1922758371,0.0395127796,0.0478445776,0.1623432338,0.1768368632,0.0638010278,0.0580515862,0.1094556600,0.1262293309,0.0372084230,0.0358409323,0.0676451772,0.0691573545,0.0430621058,0.0475922860,0.0000000000,0.0000000000,0.1802344024,0.1230744720,0.1219065785,0.0628208295,0.0163141098,0.0190662891,0.0537968390,0.0557837300,0.0000707726,0.0000000000,0.0000000000,0.0000000000,-0.0666662604,0.2348437607,-0.0159373078,-0.0015240778,0.2348347157,-0.0003646339
16:55:51:42.453,61,0.1839611381,0.3842958808,0.0000000000,0.0016837158,0.0000000000,0.0264599361,0.0000000000,0.1847852618,0.3834578991,0.1111005321,0.0000000000,0.0000000000,0.0264599249,0.0000000000,0.0447534546,0.0136438804,0.0000000000,0.0309390593,0.0338193439,0.1391653419,0.1204064116,0.0000000000,0.0666432828,0.0000000000,0.0000000000,0.2415853739,0.1948358715,0.0396317095,0.0478822216,0.1620541066,0.1766376644,0.0638289228,0.0578724556,0.1093160436,0.1291242540,0.0376009382,0.0362041481,0.0674066618,0.0689319596,0.0433573239,0.0478269085,0.0000000000,0.0000000000,0.1806805283,0.1274973750,0.1266670674,0.0627701208,0.0162379686,0.0189783070,0.0535530858,0.0554903001,0.0000811747,0.0000000000,0.0000000000,0.0000000000,-0.0660113096,0.2347619683,-0.0157752894,-0.0010003131,0.2347531170,-0.0002392375
16:55:51:44.452,61,0.1843003929,0.3870123327,0.0013419593,0.0000000000,0.0000000000,0.0258847456,0.0000000000,0.1851196736,0.3862181008,0.1078675464,0.0000000000,0.0000000000,0.0258846600,0.0000000000,0.0442702919,0.0135554792,0.0000000000,0.0303124171,0.0329857506,0.1384409517,0.1177181900,0.0000000000,0.0662676841,0.0000000000,0.0000000000,0.2414398342,0.1957519352,0.0397693403,0.0479616635,0.1615070999,0.1761584580,0.0636457875,0.0573722199,0.1095886827,0.1322778314,0.0381190144,0.0366961136,0.0670428351,0.0685855597,0.0438564122,0.0482986420,0.0000000000,0.0000000000,0.1802521795,0.1284179688,0.1276819259,0.0625815168,0.0162020233,0.0189392027,0.0534072965,0.0553086326,0.0000798926,0.0000000000,0.0000000000,0.0000000000,-0.0640646443,0.2364214212,-0.0154231312,0.0007969545,0.2364124954,0.0001920004
16:55:51:46.452,61,0.1848767400,0.3895904422,0.0031078979,0.0000000000,0.0000000000,0.0254376624,0.0000000000,0.1856893748,0.3888170719,0.1061915904,0.0000000000,0.0000000000,0.0254375115,0.0000000000,0.0439353175,0.0135534927,0.0000000000,0.0297428574,0.0324432664,0.1384615749,0.1211992651,0.0000000000,0.0658294410,0.0000000000,0.0000000000,0.2413410991,0.1960515380,0.0399784669,0.0481324978,0.1610999554,0.1756938249,0.0637978315,0.0571926869,0.1099374071,0.1329742670,0.0386225842,0.0371902622,0.0664409176,0.0679803118,0.0440638475,0.0484602153,0.0000000000,0.0000000000,0.1802974939,0.1278726608,0.1271898746,0.0634107515,0.0161835644,0.0189122222,0.0533804484,0.0552536137,0.0000872857,0.0000000000,0.0000000000,0.0000000000,-0.0630451664,0.2379967719,-0.0152830947,0.0018449964,0.2379876822,0.0004475680
16:55:51:48.452,61,0.1859203577,0.3908469975,0.0049925093,0.0000000000,0.0000000000,0.0251110010,0.0000000000,0.1866932362,0.3900958896,0.1046135724,0.0000000000,0.0000000000,0.0251107439,0.0000000000,0.0438258275,0.0136476699,0.0000000000,0.0293407068,0.0321538672,0.1388655901,0.1233536974,0.0000000000,0.0654498339,0.0000000000,0.0000000000,0.2410042286,0.1957852244,0.0403758325,0.0485531762,0.1609476060,0.1755618155,0.0648284107,0.0572900698,0.1105675623,0.1334179491,0.0393050946,0.0378127433,0.0659886822,0.0675345883,0.0443682522,0.0487261713,0.0000000000,0.0000000000,0.1804266572,0.1269778460,0.1263473481,0.0644005835,0.0162186120,0.0189466979,0.0535587706,0.0553981587,0.0000808049,0.0000000000,0.0000000000,0.0000000000,-0.0620965883,0.2387651652,-0.0151039651,0.0029632389,0.2387559563,0.0007212468
16:55:51:50.451,61,0.1924708635,0.3944798708,0.0078930221,0.0000000000,0.0000000000,0.0247874502,0.0000000000,0.1932193786,0.3937638998,0.1019702405,0.0000000000,0.0000000000,0.0247870851,0.0000000000,0.0436861068,0.0138374027,0.0000000000,0.0289480761,0.0318815894,0.1392505467,0.1243523657,0.0000000000,0.0647794157,0.0000000000,0.0000000000,0.2398182750,0.1943857670,0.0408149660,0.0489913970,0.1609041989,0.1754346639,0.0654466227,0.0573214330,0.1112166196,0.1336942166,0.0399679579,0.0384281203,0.0655736178,0.0671184286,0.0447073244,0.0490214340,0.0000000000,0.0000000000,0.1804189682,0.1243257746,0.1237782091,0.0650207698,0.0162820760,0.0189936757,0.0538017973,0.0556076169,0.0000767626,0.0000000000,0.0000000000,0.0000000000,-0.0604945421,0.2409862131,-0.0148571143,0.0046822578,0.2409767658,0.0011506705
16:55:51:52.451,61,0.1942211688,0.3950313628,0.0101098269,0.0000000000,0.0000000000,0.0244897474,0.0000000000,0.1949588656,0.3943475783,0.0998550132,0.0000000000,0.0000000000,0.0244892705,0.0000000000,0.0436292663,0.0139028402,0.0000000000,0.0286150966,0.0316520855,0.1394874603,0.1249686405,0.0000000000,0.0642195791,0.0000000000,0.0000000000,0.2393096387,0.1938425004,0.0411891453,0.0493566096,0.1608782411,0.1753914952,0.0659831390,0.0574007779,0.1117295474,0.1337560564,0.0405360274,0.0389339887,0.0652137548,0.0667591989,0.0450042337,0.0492618233,0.0000000000,0.0000000000,0.1805526763,0.1233426258,0.1228247434,0.0654803216,0.0163053405,0.0189999137,0.0539744571,0.0557414517,0.0000756388,0.0000000000,0.0000000000,0.0000000000,-0.0592345670,0.2413248867,-0.0145693393,0.0059968019,0.2413153946,0.0014758710
16:55:51:54.451,61,0.1949594468,0.3955857754,0.0131678730,0.0000000000,0.0000000000,0.0242749117,0.0000000000,0.1956953108,0.3949464858,0.0969653428,0.0000000000,0.0000000000,0.0242743250,0.0000000000,0.0435601212,0.0138823828,0.0000000000,0.0283868331,0.0314757340,0.1395406127,0.1254366785,0.0000000000,0.0637408346,0.0000000000,0.0000000000,0.2388696223,0.1932743490,0.0415598974,0.0497328863,0.1608273238,0.1753187180,0.0663708746,0.0576058552,0.1119552776,0.1336155981,0.0410508364,0.0394021980,0.0649798289,0.0665249303,0.0452329144,0.0494322479,0.0000000000,0.0000000000,0.1806685179,0.1225000545,0.1219938472,0.0657964125,0.0163250621,0.0190064590,0.0540834926,0.0558156781,0.0000643874,0.0000000000,0.0000000000,0.0000000000,-0.0575153418,0.2416666448,-0.0141678415,0.0078100762,0.2416571528,0.0019249573
16:55:51:56.451,61,0.1958267242,0.3978261054,0.0187697746,0.0000000000,0.0000000000,0.0240258854,0.0000000000,0.1965684742,0.3972722590,0.0913255513,0.0000000000,0.0000000000,0.0240251739,0.0000000000,0.0433896072,0.0138229886,0.0000000000,0.0281136930,0.0311834943,0.1392994970,0.1253326535,0.0000000000,0.0624088831,0.0000000000,0.0000000000,0.2322825640,0.1899003834,0.0419655666,0.0500757992,0.1607089788,0.1750889271,0.0665960610,0.0576255359,0.1120771691,0.1336440593,0.0415009558,0.0398074612,0.0647871643,0.0663337335,0.0455126911,0.0496243052,0.0000000000,0.0000000000,0.1805049777,0.1189488098,0.1185568124,0.0657751709,0.0163653754,0.0190145429,0.0541656204,0.0558562651,0.0000883927,0.0000000000,0.0000000000,0.0000000000,-0.0541512668,0.2430432737,-0.0134191504,0.0111288801,0.2430334985,0.0027591668
