Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:21:59:06.595,61,0.0009391578,0.0000000000,0.0000000000,0.5030736923,0.3807524741,0.1948812157,0.4229559302,0.0008780725,0.0000000000,0.5970684290,0.0000000000,0.3733466268,0.1948841214,0.4280841053,0.0476784632,0.0007652774,0.0000000000,0.0472944900,0.0400886089,0.0944223776,0.0616137087,0.0000000000,0.0020505742,0.0000000000,0.0000000000,0.0065725367,0.0469872504,0.0323955379,0.0373467878,0.2010413706,0.2271743417,0.0387647077,0.0521104634,0.0410516784,0.0770638362,0.0187925026,0.0127135823,0.0907072872,0.0851515606,0.0250602663,0.0205867644,0.1276203245,0.1263836175,0.0872382596,0.0000000000,0.0000000000,0.0303970426,0.0160806850,0.0175552778,0.0553888902,0.0443263501,0.0000530759,0.0000000000,0.0000000000,0.0000000000,-0.3596782684,-0.1741501987,0.0618444942,-0.3029436469,-0.1741401106,0.0524348840
12:21:59:08.595,61,0.0008643145,0.0000000000,0.0000000000,0.5072100759,0.3795626462,0.1947587878,0.4219920337,0.0008080971,0.0000000000,0.6009470820,0.0000000000,0.3721417785,0.1947615594,0.4271131158,0.0474347547,0.0006149387,0.0000000000,0.0461363532,0.0395113416,0.0938702375,0.0609685257,0.0000000000,0.0019717023,0.0000000000,0.0000000000,0.0067709968,0.0488762446,0.0332816616,0.0382605903,0.2000283152,0.2259989679,0.0390226208,0.0522775277,0.0413444452,0.0761366189,0.0190207101,0.0128578003,0.0890543759,0.0835896581,0.0249750614,0.0205065552,0.1275656968,0.1263195574,0.0871809721,0.0000000000,0.0000000000,0.0305509195,0.0161946043,0.0176642574,0.0556033961,0.0444690995,0.0000577662,0.0000000000,0.0000000000,0.0000000000,-0.3620444238,-0.1737441123,0.0620847791,-0.3054595292,-0.1737339497,0.0527304374
12:21:59:10.595,61,0.0007954356,0.0000000000,0.0000000000,0.5044592619,0.3766773045,0.1938958168,0.4212508202,0.0007436983,0.0000000000,0.5982257128,0.0000000000,0.3693476915,0.1938982755,0.4263642132,0.0471603088,0.0004611598,0.0000000000,0.0453138687,0.0390260108,0.0934859812,0.0606369190,0.0000000000,0.0020386665,0.0000000000,0.0000000000,0.0168932248,0.0615104958,0.0338082761,0.0387842879,0.1993303597,0.2251940966,0.0392352678,0.0523465388,0.0416311882,0.0754111409,0.0192039721,0.0129777733,0.0880031735,0.0825881884,0.0248879548,0.0204327870,0.1275044233,0.1262605339,0.0871118158,0.0000000000,0.0000000000,0.0307590924,0.0162453093,0.0177108608,0.0557202846,0.0445549488,0.0000624059,0.0000000000,0.0000000000,0.0000000000,-0.3604820371,-0.1723351479,0.0613190159,-0.3038702011,-0.1723251045,0.0520318337
12:21:59:12.594,61,0.0007320457,0.0000000000,0.0000000000,0.5029631257,0.3758890927,0.1933566928,0.4202189147,0.0006844315,0.0000000000,0.5968434215,0.0000000000,0.3685859740,0.1933589727,0.4254417717,0.0469497368,0.0002979355,0.0000000000,0.0446660966,0.0386288092,0.0931764096,0.0604572371,0.0000000000,0.0021744152,0.0000000000,0.0000000000,0.0257054232,0.0700198561,0.0341420583,0.0391015895,0.1986887157,0.2245236933,0.0394713394,0.0523626208,0.0419773385,0.0749253258,0.0193916317,0.0130989430,0.0869591609,0.0816559345,0.0248496737,0.0204007179,0.1263941973,0.1251132190,0.0872051343,0.0000000000,0.0000000000,0.0310188718,0.0162742604,0.0177367069,0.0558048412,0.0446063206,0.0000578270,0.0000000000,0.0000000000,0.0000000000,-0.3596704602,-0.1719262600,0.0610395856,-0.3029876053,-0.1719161570,0.0517602637
12:21:59:14.594,61,0.0006737076,0.0000000000,0.0000000000,0.4922270179,0.3667044044,0.1916088462,0.4146645665,0.0006298877,0.0000000000,0.5866858363,0.0000000000,0.3596764207,0.1916105747,0.4200185835,0.0466976501,0.0000987770,0.0000000000,0.0441444889,0.0382909551,0.0929780602,0.0605163686,0.0000000000,0.0022931581,0.0000000000,0.0000000000,0.0326057523,0.0778408349,0.0342913941,0.0391858369,0.1981547475,0.2239287496,0.0396546647,0.0522720143,0.0423682556,0.0746312067,0.0195629317,0.0132167889,0.0857327729,0.0806323141,0.0248423871,0.0203948021,0.1262233257,0.1249220148,0.0871857256,0.0000000000,0.0000000000,0.0313882604,0.0163045432,0.0177588295,0.0559073016,0.0447016470,0.0000478198,0.0000000000,0.0000000000,0.0000000000,-0.3537867665,-0.1673945040,0.0584753342,-0.2967259288,-0.1673844010,0.0493637770
12:21:59:16.594,61,0.0006200185,0.0000000000,0.0000000000,0.4984121919,0.3703415990,0.1903983653,0.4131253660,0.0005796907,0.0000000000,0.5926141739,0.0000000000,0.3631800115,0.1903999597,0.4185322523,0.0464395657,0.0000000000,0.0000615611,0.0436806493,0.0380179621,0.0928409025,0.0606695861,0.0000000000,0.0022537694,0.0000000000,0.0000000000,0.0397391915,0.0864703953,0.0343364924,0.0391625054,0.1977114081,0.2234227359,0.0398318879,0.0521483794,0.0427739844,0.0744241029,0.0197200514,0.0133170178,0.0848281011,0.0797815844,0.0248248726,0.0203701109,0.1257874221,0.1244681329,0.0872601420,0.0000000000,0.0000000000,0.0317292698,0.0162938554,0.0177362170,0.0559428781,0.0447265580,0.0000592283,0.0000000000,0.0000000000,0.0000000000,-0.3572667241,-0.1692476124,0.0596891120,-0.3003716171,-0.1692376137,0.0505137928
12:21:59:18.593,61,0.0005706080,0.0000000000,0.0000000000,0.5024383068,0.3708475828,0.1899633408,0.4120947421,0.0005334941,0.0000000000,0.5965263247,0.0000000000,0.3636291623,0.1899648011,0.4175262451,0.0460979678,0.0000000000,0.0002797707,0.0432149246,0.0377018526,0.0926332176,0.0608159043,0.0000000000,0.0022480446,0.0000000000,0.0000000000,0.0424470119,0.0895798281,0.0342972651,0.0390768498,0.1971172541,0.2228249162,0.0398851782,0.0519341193,0.0431358144,0.0742500424,0.0198763162,0.0134150302,0.0840004012,0.0789726079,0.0247965697,0.0203384887,0.1253049225,0.1239757985,0.0873060822,0.0000000000,0.0000000000,0.0320954584,0.0162851252,0.0177255049,0.0559474528,0.0447054803,0.0000637094,0.0000000000,0.0000000000,0.0000000000,-0.3596105576,-0.1696074605,0.0601927079,-0.3027846515,-0.1695974916,0.0510166660
12:21:59:20.593,61,0.0005251351,0.0000000000,0.0000000000,0.5044445992,0.3711382747,0.1896100342,0.4113903940,0.0004909789,0.0000000000,0.5984970927,0.0000000000,0.3638892770,0.1896113902,0.4168395400,0.0459114052,0.0000000000,0.0003891855,0.0429036394,0.0375054404,0.0923749581,0.0607405342,0.0000000000,0.0022101554,0.0000000000,0.0000000000,0.0441328287,0.0914349630,0.0343543887,0.0390894338,0.1968747824,0.2225609720,0.0399911664,0.0519135147,0.0433871374,0.0741570964,0.0199801121,0.0134811839,0.0834580958,0.0784217641,0.0247543063,0.0202956125,0.1249759272,0.1236383095,0.0873850733,0.0000000000,0.0000000000,0.0322345607,0.0162765048,0.0177059397,0.0558765717,0.0446269065,0.0000684438,0.0000000000,0.0000000000,0.0000000000,-0.3607902825,-0.1698051244,0.0604526475,-0.3039861023,-0.1697950512,0.0512732044
12:21:59:22.593,61,0.0004832861,0.0000000000,0.0000000000,0.4969685376,0.3710388243,0.1892350912,0.4106657803,0.0004518518,0.0000000000,0.5913184881,0.0000000000,0.3638723195,0.1892363578,0.4161120951,0.0457987711,0.0000000000,0.0004555439,0.0426274128,0.0373108983,0.0921248496,0.0606550798,0.0000000000,0.0021440936,0.0000000000,0.0000000000,0.0449399129,0.0922896713,0.0344279334,0.0391010009,0.1966913342,0.2223190665,0.0400867760,0.0518798158,0.0436244532,0.0740752891,0.0200515520,0.0135349287,0.0830234438,0.0779911652,0.0247323066,0.0202741269,0.1246138215,0.1232651472,0.0874346644,0.0000000000,0.0000000000,0.0323311873,0.0162775069,0.0176918786,0.0558267199,0.0445838757,0.0000689116,0.0000000000,0.0000000000,0.0000000000,-0.3564685285,-0.1695196778,0.0596591420,-0.2994869947,-0.1695096791,0.0504521653
12:21:59:24.593,61,0.0004447721,0.0000000000,0.0000000000,0.4981165230,0.3739304543,0.1892672628,0.4100826383,0.0004158429,0.0000000000,0.5923503041,0.0000000000,0.3667033017,0.1892684996,0.4155505896,0.0456693694,0.0000000000,0.0005459042,0.0423647724,0.0371591188,0.0918745920,0.0606428832,0.0000000000,0.0019929551,0.0000000000,0.0000000000,0.0454568937,0.0929312557,0.0345546603,0.0391740501,0.1964376569,0.2219979018,0.0402707234,0.0518813320,0.0439581685,0.0740351304,0.0201809835,0.0136216041,0.0825736448,0.0775316805,0.0247082021,0.0202432908,0.1245134994,0.1231505722,0.0874181837,0.0000000000,0.0000000000,0.0324832909,0.0162875634,0.0176867228,0.0558059327,0.0445552059,0.0000662308,0.0000000000,0.0000000000,0.0000000000,-0.3570157290,-0.1708753556,0.0602326021,-0.3001141548,-0.1708653122,0.0509659946
