Timecode,BlendShapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
12:24:24:19.960,61,0.0179804321,0.2226290256,0.0872230753,0.0000000000,0.0000000000,0.0334883071,0.0000000000,0.0169932451,0.2228772491,0.0229321495,0.0000000000,0.0000000000,0.0334856994,0.0001525003,0.0418320820,0.0095349504,0.0000000000,0.0274149533,0.0287614819,0.0836680382,0.0539164990,0.0141513040,0.0000000000,0.0000000000,0.0000000000,0.1830285490,0.2266117334,0.0622848198,0.0543461293,0.1751369983,0.1779781282,0.0610888973,0.0608481206,0.0854696780,0.0957178846,0.0311652217,0.0256708302,0.0561674982,0.0563519523,0.0318209082,0.0265175290,0.0000000000,0.0000000000,0.2088319659,0.2201236337,0.2250109762,0.0405333601,0.0143133821,0.0130886855,0.0431171209,0.0380526036,0.0000083047,0.0000000000,0.0000000000,0.0000000000,-0.0138788149,0.1361611784,-0.0019014584,0.0527891256,0.1361872256,0.0072304974
12:24:24:21.959,61,0.0215757359,0.2265798002,0.0827707946,0.0000000000,0.0000000000,0.0320656002,0.0000000000,0.0205870010,0.2267919183,0.0273686182,0.0000000000,0.0000000000,0.0320633166,0.0000000000,0.0423028395,0.0101345424,0.0000000000,0.0274589732,0.0289006885,0.0843715221,0.0542905331,0.0144969700,0.0000000000,0.0000000000,0.0000000000,0.1838922501,0.2269460261,0.0629373044,0.0548279248,0.1750797778,0.1775986999,0.0621726662,0.0615788884,0.0863586739,0.0966609046,0.0316760242,0.0262374952,0.0564193800,0.0567330085,0.0322805792,0.0269385166,0.0000000000,0.0000000000,0.2145596445,0.2272231728,0.2318159789,0.0409400277,0.0142687596,0.0130135175,0.0431683138,0.0382272601,0.0000083484,0.0000000000,0.0000000000,0.0000000000,-0.0165583380,0.1385584325,-0.0023089838,0.0500778593,0.1385845989,0.0069817607
12:24:24:23.959,61,0.0247278325,0.2282553464,0.0808513984,0.0000000000,0.0000000000,0.0309835076,0.0000000000,0.0237675551,0.2284524441,0.0289328899,0.0000000000,0.0000000000,0.0309814997,0.0000000000,0.0427116826,0.0106833782,0.0000000000,0.0274026841,0.0289814528,0.0849709064,0.0546191260,0.0148255806,0.0000000000,0.0000000000,0.0000000000,0.1853232235,0.2274916172,0.0634981841,0.0552744195,0.1748674959,0.1770839840,0.0636125579,0.0622239709,0.0875487998,0.0975058302,0.0322022587,0.0268195570,0.0564622693,0.0568907969,0.0326696038,0.0273078773,0.0000000000,0.0000000000,0.2172017097,0.2308557183,0.2353197336,0.0414415970,0.0142151555,0.0129388534,0.0431743190,0.0383660048,0.0000084118,0.0000000000,0.0000000000,0.0000000000,-0.0175022576,0.1395751983,-0.0024587382,0.0489096045,0.1396012902,0.0068696984
12:24:24:25.959,61,0.0269108247,0.2281809896,0.0845387653,0.0000000000,0.0000000000,0.0300849117,0.0000000000,0.0260015428,0.2284120470,0.0252538659,0.0000000000,0.0000000000,0.0300830528,0.0000000000,0.0431562848,0.0111997053,0.0000000000,0.0273551345,0.0290782657,0.0856142119,0.0549415015,0.0152311260,0.0000000000,0.0000000000,0.0000000000,0.1862342060,0.2278829813,0.0640028492,0.0556942336,0.1746128500,0.1765219122,0.0650337487,0.0628367066,0.0886759385,0.0982324630,0.0327269509,0.0273973309,0.0564895160,0.0570251457,0.0330490507,0.0276701115,0.0000000000,0.0000000000,0.2189031094,0.2336731106,0.2379196435,0.0419740714,0.0141639123,0.0128712235,0.0432023630,0.0385174602,0.0000091043,0.0000000000,0.0000000000,0.0000000000,-0.0152767757,0.1395453662,-0.0021456624,0.0511404946,0.1395715028,0.0071812132
12:24:24:27.959,61,0.0287957657,0.2256585062,0.0858719349,0.0000000000,0.0000000000,0.0293322690,0.0000000000,0.0278517641,0.2258987278,0.0240011010,0.0000000000,0.0000000000,0.0293305051,0.0000000000,0.0437508784,0.0116938604,0.0000000000,0.0273759272,0.0292290431,0.0861975998,0.0550936311,0.0156062227,0.0000000000,0.0000000000,0.0000000000,0.1870926023,0.2283090651,0.0646796152,0.0562710091,0.1744305044,0.1760725677,0.0682092682,0.0638278052,0.0895022452,0.0988630056,0.0332321078,0.0279428549,0.0565793961,0.0572220422,0.0333977193,0.0280003063,0.0000000000,0.0000000000,0.2198729962,0.2352115810,0.2393810004,0.0424074233,0.0141124446,0.0128042046,0.0431842320,0.0386079140,0.0000107406,0.0000000000,0.0000000000,0.0000000000,-0.0145220570,0.1380083412,-0.0020169129,0.0519581474,0.1380344182,0.0072145397
12:24:24:29.958,61,0.0297599956,0.2238851935,0.0851128772,0.0000000000,0.0000000000,0.0286526121,0.0000000000,0.0288170464,0.2241160572,0.0248592924,0.0000000000,0.0000000000,0.0286509078,0.0000000000,0.0443744771,0.0121320374,0.0000000000,0.0274305791,0.0293505583,0.0867365673,0.0551762693,0.0158127844,0.0000000000,0.0000000000,0.0000000000,0.1877850741,0.2284699231,0.0653065965,0.0568609647,0.1742576063,0.1756976396,0.0699282512,0.0645698607,0.0902462229,0.0995496437,0.0337204784,0.0284705628,0.0567046963,0.0574481972,0.0337761641,0.0283698142,0.0000000000,0.0000000000,0.2203803360,0.2363355756,0.2404308617,0.0428233482,0.0140701402,0.0127558950,0.0431813039,0.0387093425,0.0000120284,0.0000000000,0.0000000000,0.0000000000,-0.0150435781,0.1369203180,-0.0020726591,0.0515065826,0.1369464546,0.0070948158
12:24:24:31.958,61,0.0305867530,0.2219600528,0.0846281499,0.0000000000,0.0000000000,0.0280591100,0.0000000000,0.0296338052,0.2221846730,0.0252502896,0.0000000000,0.0000000000,0.0280574672,0.0000000000,0.0449758843,0.0126251979,0.0000000000,0.0274993181,0.0294870827,0.0872414038,0.0552383959,0.0161043257,0.0000000000,0.0000000000,0.0000000000,0.1892632544,0.2289163470,0.0658812746,0.0573897734,0.1740610003,0.1752582341,0.0712592155,0.0655061826,0.0908081234,0.1001603454,0.0341273658,0.0289261620,0.0568655096,0.0577010959,0.0340309963,0.0286272932,0.0000000000,0.0000000000,0.2204369456,0.2368140817,0.2408566624,0.0431378372,0.0140155591,0.0126940785,0.0430851206,0.0387172103,0.0000133415,0.0000000000,0.0000000000,0.0000000000,-0.0152826626,0.1357408464,-0.0020872334,0.0512215160,0.1357668489,0.0069940560
12:24:24:33.958,61,0.0300304145,0.1302001774,0.0469847731,0.0000000000,0.0000000000,0.0297212582,0.0000000000,0.0292054173,0.1301195771,0.0625808463,0.0000000000,0.0000000000,0.0297182910,0.0000000000,0.0450794101,0.0128293401,0.0000000000,0.0276836436,0.0295326319,0.0869807005,0.0550109744,0.0163335055,0.0000000000,0.0000000000,0.0000000000,0.1840949655,0.2286741585,0.0659358203,0.0573864952,0.1759289503,0.1777659655,0.0699506700,0.0658513308,0.0872409120,0.1001303494,0.0340460464,0.0289045274,0.0572384745,0.0581290498,0.0340134390,0.0286146197,0.0000000000,0.0000000000,0.1912783682,0.1607566029,0.1657454818,0.0428696349,0.0140503421,0.0127005223,0.0430675186,0.0387356989,0.0000144227,0.0000000000,0.0000000000,0.0000000000,-0.0381077081,0.0795434117,-0.0030368818,0.0286106076,0.0795674101,0.0022809731
12:24:24:35.958,61,0.0160026383,0.0000000000,0.0000000000,0.1617420763,0.1068563983,0.0526136681,0.0357964672,0.0160612483,0.0000000000,0.2677572966,0.0000000000,0.1059900597,0.0526102111,0.0375498198,0.0451595373,0.0126867462,0.0000000000,0.0279994495,0.0296201184,0.0865405798,0.0543250591,0.0163504574,0.0000000000,0.0000000000,0.0000000000,0.1805065572,0.2283966094,0.0654992238,0.0571242720,0.1810010970,0.1890592724,0.0680008158,0.0661152080,0.0758324862,0.0960348323,0.0335782729,0.0284562185,0.0575724021,0.0584161654,0.0336103253,0.0282496940,0.0000000000,0.0000000000,0.1632228792,0.0842977017,0.0883034840,0.0422370769,0.0141128954,0.0127631100,0.0429951213,0.0386057682,0.0000176239,0.0000000000,0.0000000000,0.0000000000,-0.1633871943,-0.0468715765,0.0076296269,-0.0986949056,-0.0468530655,0.0046200040
12:24:24:37.957,61,0.0111281285,0.0000000000,0.0000000000,0.2625252604,0.2213954031,0.0824683979,0.1096902341,0.0113169104,0.0000000000,0.3657374680,0.0000000000,0.2187521160,0.0824647546,0.1133193448,0.0452544130,0.0122316973,0.0000000000,0.0283156857,0.0297163893,0.0860743299,0.0533737428,0.0164926127,0.0000000000,0.0000000000,0.0000000000,0.1646287441,0.2234669030,0.0635669082,0.0566873513,0.1855994910,0.1975069493,0.0659602806,0.0660862774,0.0702354535,0.0916759670,0.0329684615,0.0276943874,0.0578211397,0.0585303493,0.0330363996,0.0277204327,0.0000000000,0.0000000000,0.1510243565,0.0506363101,0.0533960387,0.0416439548,0.0141664641,0.0128438314,0.0429151393,0.0383806638,0.0000198861,0.0000000000,0.0000000000,0.0000000000,-0.2223822623,-0.0978660211,0.0216505192,-0.1596134603,-0.0978496671,0.0156004494
