Filename,Timecode
S01-002,12:13:00:09
S02-001,12:14:56:03
S03-001,12:21:49:08
S04-001,12:23:12:09
S05-001,12:24:14:14
S06-001,12:25:20:10
S07-001,12:27:37:28
S08-001,12:28:47:11
S09-001,12:31:02:20
S10-001,12:32:17:15
S11-001,12:33:32:27
S12-001,12:34:38:21
S13-001,12:40:06:28
S14-001,12:41:12:12
S15-001,12:42:06:13
S16-001,12:43:02:24
S17-001,12:45:30:08
S18-001,12:47:08:01
S19-001,12:48:07:29
S21-001,12:49:59:15
S22-001,14:33:06:05
S23-002,14:35:24:12
S24-001,14:36:26:07
S25-001,14:38:09:12
S26-001,14:39:10:13
S27-001,14:40:04:24
S28-001,14:40:53:11
S29-001,14:42:13:24
S30-001,14:43:35:18
S31-001,14:44:24:14
S32-001,14:45:23:18
S33-001,14:46:43:16
S34-001,14:47:38:28
S35-002,15:03:02:05
S36-001,15:03:54:24
S37-001,15:04:39:12
S38-001,15:06:04:05
S39-002,15:18:15:01
S39-003,15:22:22:22
S40-001,15:28:00:08
S41-001,15:28:46:29
S42-001,15:29:22:05
S43-001,15:30:03:16
S44-001,15:30:51:20
S45-001,15:31:38:24
S46-001,15:33:04:12
S47-001,15:34:57:28
S48-001,15:35:54:27
S49-001,15:36:59:18
S50-001,15:37:47:01
S51-001,15:38:37:24
S52-001,15:39:19:01
S53-001,15:40:39:11
S54-001,15:41:42:23
S55-001,15:42:30:25
S56-001,15:43:30:29
S57-001,15:44:20:09
S58-001,15:45:04:21
S59-001,15:45:52:00
S60-001,15:46:28:22
S61-001,15:47:18:25
